text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿PREFACE.,4,neutral,0.9179657697677612,0.04064932465553284,0.015204519964754581,0.007604199927300215,0.0048540495336055756,0.9179657697677612,0.005977853201329708,0.007744217291474342
[Illustration],4,neutral,0.880917489528656,0.04561632499098778,0.031758010387420654,0.005275797564536333,0.01102201733738184,0.880917489528656,0.011289584450423717,0.01412078645080328
"
_Walt Whitman has somewhere a fine and just distinction between “loving
by allowance” and “loving with personal love.” This distinction applies
to books as well as to men and women; and in the case of the not very
numerous authors who are the objects of the personal affection, it
brings a curious consequence with it.",4,neutral,0.6230628490447998,0.026016611605882645,0.07588616013526917,0.006053387653082609,0.03235824406147003,0.6230628490447998,0.01056849304586649,0.22605422139167786
"There is much more difference as
to their best work than in the case of those others who are loved “by
allowance” by convention, and because it is felt to be the right and
proper thing to love them.",4,neutral,0.5455838441848755,0.04741458222270012,0.06630855053663254,0.003108276054263115,0.3036913275718689,0.5455838441848755,0.024153925478458405,0.009739482775330544
"And in the sect--fairly large and yet
unusually choice--of Austenians or Janites, there would probably be
found partisans of the claim to primacy of almost every one of the
novels.",4,neutral,0.6802655458450317,0.01032936479896307,0.035749658942222595,0.006426999811083078,0.07750717550516129,0.6802655458450317,0.09447870403528214,0.09524261951446533
"To some the delightful freshness and humour of_ Northanger
Abbey, _its completeness, finish, and_ entrain, _obscure the undoubted
critical facts that its scale is small, and its scheme, after all, that
of burlesque or parody, a kind in which the first rank is reached with
difficulty._ Persuasion, _relatively faint in tone, and not enthralling
in interest, has devotees who exalt above all the others its exquisite
delicacy and keeping.",3,joy,0.43419504165649414,0.008091344498097897,0.08078888803720474,0.004633196163922548,0.43419504165649414,0.42033639550209045,0.04319116473197937,0.008763947524130344
"The catastrophe of_ Mansfield Park _is admittedly
theatrical, the hero and heroine are insipid, and the author has almost
wickedly destroyed all romantic interest by expressly admitting that
Edmund only took Fanny because Mary shocked him, and that Fanny might
very likely have taken Crawford if he had been a little more assiduous;
yet the matchless rehearsal-scenes and the characters of Mrs. Norris and
others have secured, I believe, a considerable party for it._ Sense and
Sensibility _has perhaps the fewest out-and-out admirers; but it does
not want them._",6,surprise,0.2920486330986023,0.1027916967868805,0.017022445797920227,0.040197230875492096,0.04076973721385002,0.22955045104026794,0.2776198387145996,0.2920486330986023
"_I suppose, however, that the majority of at least competent votes
would, all things considered, be divided between_ Emma _and the present
book; and perhaps the vulgar verdict (if indeed a fondness for Miss
Austen be not of itself a patent of exemption from any possible charge
of vulgarity) would go for_ Emma.",1,disgust,0.39080947637557983,0.08756959438323975,0.39080947637557983,0.007689862512052059,0.1286899894475937,0.32330259680747986,0.041483499109745026,0.02045500837266445
"_It is the larger, the more varied, the
more popular; the author had by the time of its composition seen rather
more of the world, and had improved her general, though not her most
peculiar and characteristic dialogue; such figures as Miss Bates, as the
Eltons, cannot but unite the suffrages of everybody.",4,neutral,0.555495023727417,0.019243497401475906,0.22249220311641693,0.010033246129751205,0.04231765493750572,0.555495023727417,0.05586787685751915,0.09455051273107529
"On the other hand,
I, for my part, declare for_ Pride and Prejudice _unhesitatingly.",4,neutral,0.4157649874687195,0.2569192349910736,0.10061440616846085,0.038918353617191315,0.07606397569179535,0.4157649874687195,0.10840912908315659,0.0033099499996751547
